ags,municipality,airport,conveyance_capacity_inland_pkm,transport_capacity_inland_tkm,flight_kilometer_inland_km,flight_kilometer_share_inland,eev_kerosene_inland_mwh,eev_petrol_inland_mwh,ghg_inland_tco2e,conveyance_capacity_overseas_pkm,transport_capacity_overseas_tkm,flight_kilometer_overseas_km,flight_kilometer_share_overseas,eev_kerosene_overseas_mwh,ghg_overseas_tco2e,sum_ghg_tco2e
05774032,Paderborn,Paderborn-Haxterberg,102614.8945,12.21605887,7653.390203,0.002443212,572.6283938,7.569178954,152.9219093,0,0,0,0,0,0,152.9219093
05913000,Dortmund,Dortmund,51075426.49,8.979344197,744419.5807,0.008557779,55697.64215,736.2286351,14874.20092,1226000000,0,8166896,0.005586717,633271.4168,167007.3513,181881.5522
05915000,Hamm,Hamm-Lippewiesen,194139.2944,23.11182076,14479.61118,0.004622364,1083.367798,14.32029013,289.3162022,0,0,0,0,0,0,289.3162022
05958004,Arnsberg,Arnsberg-Menden,103931.659,12.37281654,7751.599259,0.002474563,579.9764176,7.666307403,154.8842183,0,0,0,0,0,0,154.8842183
05958012,Brilon,Brilon/Hochsauerland,20363.4835,2.424224226,1518.782296,0.000484845,113.6356364,1.502070937,30.34669373,0,0,0,0,0,0,30.34669373
05958032,Meschede,Meschede-Schüren,77058.53729,9.173635391,5747.304589,0.001834727,430.0146351,5.684066249,114.8365323,0,0,0,0,0,0,114.8365323
05958040,Schmallenberg,Schmallenberg-Rennefeld,43490.31767,5.177418771,3243.665286,0.001035484,242.6917736,3.207974814,64.8114725,0,0,0,0,0,0,64.8114725
05962020,Herscheid,Plettenberg-Hüinghausen,26706.20787,3.179310461,1991.845634,0.000635862,149.0303429,1.969929097,39.7989426,0,0,0,0,0,0,39.7989426
05962024,Iserlohn,Iserlohn-Sümmern,90930.9286,10.82511055,6781.957738,0.002165022,507.4276188,6.707334974,135.5098719,0,0,0,0,0,0,135.5098719
05962048,Neuenrade,Werdohl-Küntrop,37518.51286,4.466489626,2798.26647,0.000893298,209.3669331,2.76747678,55.91198672,0,0,0,0,0,0,55.91198672
05966012,Finnentrop,Attendorn-Finnentrop,18749.98344,2.232140886,1398.441622,0.000446428,104.6317199,1.383054387,27.94217428,0,0,0,0,0,0,27.94217428
05966028,Wenden,Hünsborn,47477.70288,5.652107485,3541.058905,0.001130421,264.9428318,3.502096173,70.75367573,0,0,0,0,0,0,70.75367573
05970008,Burbach,Siegerland,212611.0882,25.31084383,15857.30441,0.005062169,1186.447118,15.68282442,316.8438041,0,0,0,0,0,0,316.8438041
05970012,Erndtebrück,Schameder,32492.55291,3.86816106,2423.412188,0.000773632,181.3202505,2.396747068,48.42204683,0,0,0,0,0,0,48.42204683
06000000,Hessen,Hessen,1317509846,5159298.791,12123403.38,0.169005976,907075.795,11990.00799,242236.962,1.08804E+11,7326983000,553755026,0.378806401,42938863.17,11323905.7,11566142.66
05974008,Bad Sassendorf,Soest-Bad Sassendorf,112685.3604,13.41492386,8404.481994,0.002682985,628.8252522,8.312006385,167.9294273,0,0,0,0,0,0,167.9294273
06412000,Frankfurt am Main,Frankfurt/Main,1315006992,5159000.832,11936731.48,0.109414217,893108.961,11805.39007,238507.0825,1.08804E+11,7326983000,553755026,0.378806401,42938863.17,11323905.7,11562412.78
06431011,Heppenheim (Bergstraße),Heppenheim,60904.99072,7.250594134,4542.514626,0.001450119,339.8719764,4.492532746,90.76369965,0,0,0,0,0,0,90.76369965
06432002,Babenhausen,Babenhausen,57325.61703,6.824478218,4275.551982,0.001364896,319.8977707,4.228507527,85.42953582,0,0,0,0,0,0,85.42953582
06434002,Friedrichsdorf,Burgholzhausen,5211.41973,0.620407111,388.6865438,0.000124081,29.08161552,0.384409775,7.766321438,0,0,0,0,0,0,7.766321438
06434007,Neu-Anspach,Anspach/Ts.,97663.1185,11.62656173,7284.068825,0.002325312,544.9956844,7.203921267,145.542522,0,0,0,0,0,0,145.542522
06435010,Gelnhausen,Gelnhausen,181398.2078,21.59502473,13529.33482,0.004319005,1012.267905,13.38046979,270.32879,0,0,0,0,0,0,270.32879
06437011,Michelstadt,Michelstadt,45567.46718,5.424698473,3398.586613,0.00108494,254.2830225,3.361191522,67.90694581,0,0,0,0,0,0,67.90694581
06438003,Egelsbach,Egelsbach,655192.2997,77.9990833,48866.61288,0.015599817,3656.211078,48.32892718,976.4007251,0,0,0,0,0,0,976.4007251
06440017,Niddatal,Niddatal-Bönstadt,6324.178391,0.75287838,471.6801119,0.000150576,35.29121314,0.466490154,9.424610713,0,0,0,0,0,0,9.424610713
06440018,Ober-Mörlen,Ober-Mörlen,83401.26166,9.928721626,6220.367927,0.001985744,465.4093416,6.151924409,124.2887812,0,0,0,0,0,0,124.2887812
06440021,Reichelsheim (Wetterau),Reichelsheim,263909.2625,31.41776934,19683.3079,0.006283554,1472.709569,19.4667299,393.2909397,0,0,0,0,0,0,393.2909397
06531005,Gießen,Giessen-Lützellinden,153282.5056,18.24791733,11432.364,0.003649583,855.372072,11.30657221,228.4293476,0,0,0,0,0,0,228.4293476
06532004,Breitscheid,Breitscheid,92321.87692,10.99069963,6885.699698,0.00219814,515.1896158,6.809935448,137.5827335,0,0,0,0,0,0,137.5827335
06532009,Eschenburg,Hirzenhain Sonderlandeplatz,24925.79401,2.96735643,1859.055925,0.000593471,139.0949867,1.838600491,37.14567976,0,0,0,0,0,0,37.14567976
06533006,Elz,Elz,69807.06001,8.310364287,5206.463171,0.001662073,389.5487573,5.149175779,104.0300139,0,0,0,0,0,0,104.0300139
06533008,Hünfelden,Dauborn,6361.270346,0.757294089,474.4465642,0.000151459,35.49819972,0.469226167,9.479887022,0,0,0,0,0,0,9.479887022
06534003,Bad Endbach,Bottenhorn,13445.83382,1.600694503,1002.838948,0.000320139,75.0326379,0.99180458,20.03766207,0,0,0,0,0,0,20.03766207
06534006,Cölbe,Marburg-Schönstadt,98887.15302,11.77228012,7375.36175,0.002354456,551.8262418,7.294209684,147.3666402,0,0,0,0,0,0,147.3666402
06535011,Lauterbach (Hessen),Lauterbach,7474.029008,0.889765358,557.4401323,0.000177953,41.70779734,0.551306546,11.1381763,0,0,0,0,0,0,11.1381763
06631014,Hosenfeld,Fulda-Jossa,15356.06952,1.828103515,1145.311239,0.000365621,85.69244715,1.132709231,22.884392,0,0,0,0,0,0,22.884392
