ags,residential_buildings_total,buildings_1flat,buildings_2flats,buildings_3flats,buildings_dorms,residential_buildings_area_total
01058075,23,19,2,1,1,3.6
01058076,54,47,4,3,0,8.7
01058077,1694,1371,163,159,1,256.4
01058078,886,734,113,39,0,125.4
01058080,495,421,55,19,0,74.1
01058081,139,112,18,9,0,21.5
01058082,338,270,48,20,0,46.5
01058083,69,52,12,5,0,11.8
01058084,102,79,16,7,0,15.8
01058085,92,75,15,2,0,14
01058086,1128,902,160,65,1,161.6
01058087,230,192,31,7,0,29.6
01058088,100,73,19,8,0,14.1
01058089,63,52,8,3,0,8.5
01058090,684,587,75,22,0,86.6
01058091,165,147,13,5,0,24.5
01058092,3117,2476,207,429,5,568.7
01058093,232,192,26,14,0,34.1
01058094,695,606,65,24,0,86.6
01058096,462,386,53,23,0,66.2
01058097,166,132,27,7,0,26.7
01058098,74,66,7,1,0,9.2
01058099,288,244,28,16,0,39.8
01058100,200,180,15,5,0,27.2
01058101,159,132,22,5,0,23.1
01058102,290,244,39,7,0,42.1
01058103,176,156,16,3,1,22.8
01058104,577,469,81,27,0,90.5
01058105,487,414,58,15,0,70.1
01058106,90,74,12,4,0,13.9
01058107,1726,1436,187,103,0,288.9
01058108,205,174,22,9,0,32.7
01058109,115,87,23,4,1,18
01058110,380,317,49,14,0,56.1
01058111,40,36,3,0,1,5.8
01058112,406,346,43,17,0,57.8
01058113,224,199,19,4,2,30.6
01058115,239,202,32,5,0,35.7
01058116,352,299,42,10,1,47.1
01058117,2035,1524,272,236,3,323.1
01058118,595,506,75,14,0,86.4
01058119,104,88,13,3,0,13.4
01058120,58,54,4,0,0,7.6
01058121,832,682,116,34,0,118.3
01058122,199,179,11,9,0,28.7
01058123,344,283,50,11,0,52.3
01058124,1761,1458,219,83,1,246.2
01058125,235,196,32,6,1,33.5
01058126,303,250,40,13,0,45
01058127,1345,1138,148,57,2,194.6
01058128,583,516,48,19,0,79.8
01058129,60,49,9,2,0,9.1
01058130,643,545,81,17,0,90.1
01058131,35,34,1,0,0,5
01058132,79,65,10,3,1,12.5
01058133,43,30,8,5,0,8
01058134,166,144,19,3,0,22.7
01058135,6184,3968,659,1551,6,1218.9
01058136,371,308,56,7,0,55.8
01058137,924,790,80,53,1,133.3
01058138,169,137,25,7,0,25.7
01058139,275,215,41,19,0,42.8
01058140,1603,1347,156,100,0,223
01058141,149,121,23,5,0,22.6
01058142,351,278,56,16,1,53.3
01058143,107,95,7,5,0,16.5
01058144,80,70,7,3,0,11.3
01058145,111,90,20,1,0,16
01058146,248,219,25,4,0,34.9
01058147,290,255,26,9,0,40.7
01058148,415,349,47,19,0,64.1
01058150,1060,902,97,61,0,146.4
01058151,137,119,15,3,0,17.7
01058152,332,279,41,11,1,46.2
01058153,61,51,9,1,0,9.1
01058154,132,110,20,2,0,17.9
01058155,136,115,17,4,0,18.6
01058156,141,124,16,1,0,20.7
01058157,535,427,62,46,0,97.5
01058158,25,20,2,3,0,4.6
01058159,121,104,14,3,0,17.9
01058160,58,45,11,2,0,8.3
01058161,100,90,10,0,0,14.5
01058162,193,148,30,15,0,29.3
01058163,376,321,44,11,0,53.2
01058164,386,322,48,16,0,54.4
01058165,425,363,42,20,0,63.6
01058166,656,556,72,28,0,89.8
01058167,99,87,9,3,0,14.5
01058168,368,346,17,5,0,38.6
01058169,809,687,97,25,0,112.3
01058170,950,812,82,56,0,131.2
01058171,545,431,77,37,0,83.5
01058172,1752,1422,222,105,3,258.8
01058173,411,351,52,8,0,56.5
01058174,218,190,20,7,1,32.1
01058175,170,143,20,7,0,25
01059000,70550,57170,8503,4836,41,10700.3
01059001,112,91,14,7,0,17.7
01059002,138,112,13,13,0,19.3
01059005,291,254,30,7,0,40.6
01059006,267,216,38,13,0,39.8
01059008,499,402,60,37,0,71.8
01059009,271,205,54,12,0,40.9
01059010,584,498,72,14,0,81.8
01059012,386,342,28,16,0,50.4
01059018,755,626,94,35,0,108.3
01059019,396,331,46,17,2,58.8
01059020,239,195,34,10,0,33.5
01059023,283,222,46,15,0,43.6
01059024,802,702,75,25,0,108.9
01059026,943,814,95,32,2,147.9
01059032,138,119,11,8,0,19.6
01059034,114,102,10,2,0,15.5
01059035,310,258,44,8,0,44.9
01059037,286,221,59,5,1,43.6
01059039,357,295,42,19,1,52
01059041,277,223,41,13,0,40.7
01059042,334,272,55,7,0,47.8
01059043,350,295,30,25,0,51.9
01059044,986,839,102,44,1,136.7
